State,SA3_Code,SA3_Name,Age Group,% DTP,% Polio,% HIB,% HEP,% MMR,% Pneumo,% MenC,% Varicella,% Fully
VIC,20401,Upper Goulburn Valley,5 Year olds,95.37366548,95.01779359,0,0,0,0,0,0,95.01779359
VIC,20402,Wangaratta - Benalla,5 Year olds,94.01197605,93.81237525,0,0,0,0,0,0,93.61277445
VIC,20403,Wodonga - Alpine,5 Year olds,96.48924122,96.48924122,0,0,0,0,0,0,96.37599094
VIC,20501,Baw Baw,5 Year olds,93.6827957,93.5483871,0,0,0,0,0,0,93.5483871
VIC,20502,Gippsland - East,5 Year olds,92.16101695,91.94915254,0,0,0,0,0,0,91.94915254
VIC,20503,Gippsland - South West,5 Year olds,95.05409583,94.74497682,0,0,0,0,0,0,94.74497682
VIC,20504,Latrobe Valley,5 Year olds,95.02762431,95.02762431,0,0,0,0,0,0,95.02762431
VIC,20505,Wellington,5 Year olds,94.61206897,94.61206897,0,0,0,0,0,0,94.61206897
VIC,20601,Brunswick - Coburg,5 Year olds,94.60476788,94.35382685,0,0,0,0,0,0,94.35382685
VIC,20602,Darebin - South,5 Year olds,95.35353535,95.35353535,0,0,0,0,0,0,95.35353535
VIC,20603,Essendon,5 Year olds,95.63182527,95.63182527,0,0,0,0,0,0,95.47581903
VIC,20604,Melbourne City,5 Year olds,89.29016189,90.53549191,0,0,0,0,0,0,89.29016189
VIC,20605,Port Phillip,5 Year olds,92.39130435,92.39130435,0,0,0,0,0,0,92.25543478
VIC,20606,Stonnington - West,5 Year olds,91.184573,91.4600551,0,0,0,0,0,0,90.63360882
VIC,20607,Yarra,5 Year olds,93.20695103,93.04897314,0,0,0,0,0,0,92.89099526
VIC,20701,Boroondara,5 Year olds,93.52568614,93.73680507,0,0,0,0,0,0,93.10344828
VIC,20702,Manningham - West,5 Year olds,93.86385427,94.1514861,0,0,0,0,0,0,93.86385427
VIC,20703,Whitehorse - West,5 Year olds,95.92711683,96.24866024,0,0,0,0,0,0,95.81993569
VIC,20801,Bayside,5 Year olds,94.0087146,93.89978214,0,0,0,0,0,0,93.46405229
VIC,20802,Glen Eira,5 Year olds,93.49005425,93.55033153,0,0,0,0,0,0,93.24894515
VIC,20803,Kingston,5 Year olds,94.66374269,94.51754386,0,0,0,0,0,0,94.44444444
VIC,20804,Stonnington - East,5 Year olds,96.08938547,96.36871508,0,0,0,0,0,0,95.81005587
VIC,20901,Banyule,5 Year olds,95.45454545,95.45454545,0,0,0,0,0,0,95.24475524
VIC,20902,Darebin - North,5 Year olds,93.26315789,93.36842105,0,0,0,0,0,0,93.05263158
VIC,20903,Nillumbik - Kinglake,5 Year olds,93.3427762,93.05949008,0,0,0,0,0,0,92.91784703
VIC,20904,Whittlesea - Wallan,5 Year olds,94.8025987,94.77761119,0,0,0,0,0,0,94.57771114
VIC,21001,Keilor,5 Year olds,94.79166667,94.79166667,0,0,0,0,0,0,94.79166667
VIC,21002,Macedon Ranges,5 Year olds,94.06593407,93.84615385,0,0,0,0,0,0,93.84615385
VIC,21003,Moreland - North,5 Year olds,92.81818182,93.18181818,0,0,0,0,0,0,92.72727273
VIC,21004,Sunbury,5 Year olds,95.37480064,95.37480064,0,0,0,0,0,0,95.37480064
VIC,21005,Tullamarine - Broadmeadows,5 Year olds,93.59228806,93.56393536,0,0,0,0,0,0,93.25205557
VIC,21101,Knox,5 Year olds,95.68651276,95.68651276,0,0,0,0,0,0,95.38274605
VIC,21102,Manningham - East,5 Year olds,94.60580913,94.60580913,0,0,0,0,0,0,94.60580913
VIC,21103,Maroondah,5 Year olds,96.24447717,96.17083947,0,0,0,0,0,0,96.02356406
